id,species,genus,family,order,class,phylum,accession
MitoFish_mf_024084,Rhinoliparis attenuatus,Rhinoliparis,Liparidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024084
MitoFish_mf_024085,Triportheus sp. CBM:ZF:13070,Triportheus,Triportheidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_024085
MitoFish_mf_024099,Hemitaurichthys thompsoni,Hemitaurichthys,Chaetodontidae,Chaetodontiformes,Actinopteri,Chordata,MitoFish_mf_024099
MitoFish_mf_024101,Cheilodactylus fasciatus,Cheilodactylus,Cheilodactylidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_024101
MitoFish_mf_024103,Elassoma okefenokee,Elassoma,Elassomatidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_024103
MitoFish_mf_024106,Pomacentrus tripunctatus,Pomacentrus,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024106
MitoFish_mf_024110,Abudefduf bengalensis,Abudefduf,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024110
MitoFish_mf_024111,Stegastes nigricans,Stegastes,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024111
MitoFish_mf_024112,Chromis cinerascens,Chromis,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024112
MitoFish_mf_024117,Neoglyphidodon melas,Neoglyphidodon,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024117
MitoFish_mf_024118,Plectroglyphidodon imparipennis,Plectroglyphidodon,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024118
MitoFish_mf_024120,Plectroglyphidodon dickii,Plectroglyphidodon,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024120
MitoFish_mf_024125,Pomacentrus bankanensis,Pomacentrus,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024125
MitoFish_mf_024126,Neopomacentrus cyanomos,Neopomacentrus,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024126
MitoFish_mf_024129,Chrysiptera parasema,Chrysiptera,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024129
MitoFish_mf_024131,Chromis alleni,Chromis,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024131
MitoFish_mf_024132,Plectroglyphidodon johnstonianus,Plectroglyphidodon,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024132
MitoFish_mf_024134,Chromis lepidolepis,Chromis,Pomacentridae,NA,Actinopteri,Chordata,MitoFish_mf_024134
MitoFish_mf_024135,Cirrhilabrus exquisitus,Cirrhilabrus,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024135
MitoFish_mf_024138,Choerodon oligacanthus,Choerodon,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024138
MitoFish_mf_024139,Halichoeres melanochir,Halichoeres,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024139
MitoFish_mf_024142,Pseudocheilinus evanidus,Pseudocheilinus,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024142
MitoFish_mf_024143,Thalassoma cupido,Thalassoma,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024143
MitoFish_mf_024145,Bodianus axillaris,Bodianus,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024145
MitoFish_mf_024146,Bodianus rubrisos,Bodianus,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024146
MitoFish_mf_024147,Hemigymnus fasciatus,Hemigymnus,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024147
MitoFish_mf_024148,Anampses caeruleopunctatus,Anampses,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024148
MitoFish_mf_024150,Choerodon jordani,Choerodon,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024150
MitoFish_mf_024152,Iniistius pentadactylus,Iniistius,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024152
MitoFish_mf_024153,Iniistius evides,Iniistius,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024153
MitoFish_mf_024154,Iniistius evides,Iniistius,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024154
MitoFish_mf_024155,Halichoeres chrysus,Halichoeres,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024155
MitoFish_mf_024157,Iniistius aneitensis,Iniistius,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024157
MitoFish_mf_024159,Xiphocheilus typus,Xiphocheilus,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024159
MitoFish_mf_024160,Oxycheilinus celebicus,Oxycheilinus,Labridae,Labriformes,Actinopteri,Chordata,MitoFish_mf_024160
MitoFish_mf_024164,Lycodes nakamurae,Lycodes,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024164
MitoFish_mf_024165,Lycodapus microchir,Lycodapus,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024165
MitoFish_mf_024166,Lycodes cf. matsubarai HUMZ:164068,Lycodes,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024166
MitoFish_mf_024168,Lycodapus parviceps,Lycodapus,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024168
MitoFish_mf_024169,Lycodes cortezianus,Lycodes,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024169
MitoFish_mf_024171,Lycodes diapterus,Lycodes,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024171
MitoFish_mf_024172,Lycodopsis pacificus,Lycodopsis,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024172
MitoFish_mf_024174,Lycodapus mandibularis,Lycodapus,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024174
MitoFish_mf_024178,Lycodapus mandibularis,Lycodapus,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024178
MitoFish_mf_024179,Lycodes brevipes,Lycodes,Zoarcidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_024179
