id,species,genus,family,order,class,phylum,accession
Xinglinwan_gi|NC_001606.1|ref|NC_001606.1|tax|7962|Cyprinus,Cyprinus carpio,Cyprinus,,,,,NC_001606.1
Xinglinwan_gi|16356953|ref|NC_003182.1|tax|48193|Mugil,Mugil cephalus,Mugil,,,,,NC_003182.1
Xinglinwan_gi|16356925|ref|NC_003192.1|tax|43700|Monopterus,Monopterus albus,Monopterus,,,,,NC_003192.1
Xinglinwan_gi|NC_005799.1|ref|NC_005799.1|tax|118141|Megalops,Megalops cyprinoides,Megalops,,,,,NC_005799.1
Xinglinwan_gi|162382067|ref|NC_010156.1|tax|13095|Hypophthalmichthys,Hypophthalmichthys molitrix,Hypophthalmichthys,,,,,NC_010156.1
Xinglinwan_gi|NC_013663.1|ref|NC_013663.1|tax|8128|Oreochromis,Oreochromis niloticus,Oreochromis,,,,,NC_013663.1
Xinglinwan_gi|345894269|ref|NC_015992.1|tax|55553|Tridentiger,Tridentiger bifasciatus,Tridentiger,,,,,NC_015992.1
Xinglinwan_gi|NC_018600.1|ref|NC_018600.1|tax|403224|Clupanodon,Clupanodon thrissa,Clupanodon,,,,,NC_018600.1
Xinglinwan_gi|560877690|ref|NC_022929.1|tax|75350|Hemiculter,Hemiculter leucisculus,Hemiculter,,,,,NC_022929.1
Xinglinwan_gi|1016472331|ref|NC_029831.1|tax|198511|Hemiculter,Hemiculter bleekeri,Hemiculter,,,,,NC_029831.1
Xinglinwan_gi|NC_042503.1|ref|NC_042503.1|tax|8164|Lateolabrax,Lateolabrax japonicus,Lateolabrax,,,,,NC_042503.1
Xinglinwan_gi|NC_046753.1|ref|NC_046753.1|tax|2048576|Homatula,Homatula laxiclathra,Homatula,,,,,NC_046753.1
Yundang_NC_002639.1,Myxine glutinosa,Myxine,,,,,NC_002639.1
Yundang_NC_003182.1,Mugil cephalus,Mugil,,,,,NC_003182.1
Yundang_NC_011925.1,Monacanthus chinensis,Monacanthus,,,,,NC_011925.1
Yundang_NC_011931.1,Paramonacanthus choirocephalus,Paramonacanthus,,,,,NC_011931.1
Yundang_NC_012570.1,Chiloscyllium plagiosum,Chiloscyllium,,,,,NC_012570.1
Yundang_NC_013141.1,Rhynchopelates oxyrhynchus,Rhynchopelates,,,,,NC_013141.1
Yundang_NC_013663.1,Oreochromis niloticus,Oreochromis,,,,,NC_013663.1
Yundang_NC_013812.1,Sebastiscus marmoratus,Sebastiscus,,,,,NC_013812.1
Yundang_NC_016672.1,Sillago sihama,Sillago,,,,,NC_016672.1
Yundang_NC_016694.1,Konosirus punctatus,Konosirus,,,,,NC_016694.1
Yundang_NC_017606.1,Dendrophysa russelii,Dendrophysa,,,,,NC_017606.1
Yundang_NC_017902.2,Moolgarda cunnesius,Moolgarda,,,,,NC_017902.2
Yundang_NC_018553.1,Acanthopagrus schlegelii,Acanthopagrus,,,,,NC_018553.1
Yundang_NC_018600.1,Clupanodon thrissa,Clupanodon,,,,,NC_018600.1
Yundang_NC_021130.1,Johnius grypotus,Johnius,,,,,NC_021130.1
Yundang_NC_022445.1,Pleuronichthys cornutus,Pleuronichthys,,,,,NC_022445.1
Yundang_NC_022464.1,Johnius belangerii,Johnius,,,,,NC_022464.1
Yundang_NC_022481.1,Platycephalus indicus,Platycephalus,,,,,NC_022481.1
Yundang_NC_022707.1,Trachinotus ovatus,Trachinotus,,,,,NC_022707.1
Yundang_NC_022841.1,Rhinobatos hynnicephalus,Rhinobatos,,,,,NC_022841.1
Yundang_NC_023824.1,Nematalosa nasus,Nematalosa,,,,,NC_023824.1
Yundang_NC_024610.1,Solea ovata,Solea,,,,,NC_024610.1
Yundang_NC_025199.1,Zebrias zebrinus,Zebrias,,,,,NC_025199.1
Yundang_NC_025644.1,Carangoides equula,Carangoides,,,,,NC_025644.1
Yundang_NC_026234.1,Gerres oyena,Gerres,,,,,NC_026234.1
Yundang_NC_026902.1,Eleotris oxycephala,Eleotris,,,,,NC_026902.1
Yundang_NC_027281.1,Terapon jarbua,Terapon,,,,,NC_027281.1
Yundang_NC_027734.1,Nemipterus virgatus,Nemipterus,,,,,NC_027734.1
Yundang_NC_028288.1,Eucyclogobius newberryi,Eucyclogobius,,,,,NC_028288.1
Yundang_NC_029714.1,Plotosus lineatus,Plotosus,,,,,NC_029714.1
Yundang_NC_029940.1,Thryssa kammalensis,Thryssa,,,,,NC_029940.1
Yundang_NC_033497.1,Ambassis gymnocephalus,Ambassis,,,,,NC_033497.1
Yundang_NC_033521.1,Stolephorus commersonnii,Stolephorus,,,,,NC_033521.1
Yundang_NC_034944.1,Lepidotrigla microptera,Lepidotrigla,,,,,NC_034944.1
Yundang_NC_035981.1,,,,,,,NC_035981.1
Yundang_NC_036674.1,Glossogobius giuris,Glossogobius,,,,,NC_036674.1
Yundang_NC_037846.1,Gerres filamentosus,Gerres,,,,,NC_037846.1
Yundang_NC_039819.1,Thryssa vitrirostris,Thryssa,,,,,NC_039819.1
Yundang_NC_042503.1,Lateolabrax japonicus,Lateolabrax,,,,,NC_042503.1
Yundang_NC_042504.1,Scoliodon laticaudus,Scoliodon,,,,,NC_042504.1
Yundang_NC_047231.1,Hydrolagus affinis,Hydrolagus,,,,,NC_047231.1
Yundang_NC_056780.1,Acanthopagrus latus,Acanthopagrus,,,,,NC_056780.1
Yundang_NC_057589.1,Sardinella zunasi,Sardinella,,,,,NC_057589.1
Yundang_NC_059324.1,Scatophagus argus,Scatophagus,,,,,NC_059324.1
Yundang_NC_060758.1,Myxine fernholmi,Myxine,,,,,NC_060758.1
Yundang_NC_063689.1,Inegocia japonica,Inegocia,,,,,NC_063689.1
Yundang_NC_083132.1,Urolophus aurantiacus,Urolophus,,,,,NC_083132.1
Yundang_NC_083174.1,Eucinostomus gula,Eucinostomus,,,,,NC_083174.1
Yundang_NC_083266.1,Oxyurichthys ophthalmonema,Oxyurichthys,,,,,NC_083266.1
Yundang_LC677326.1,Equulites rivulatus,Equulites,,,,,LC677326.1
Yundang_OR002186.1,Gerres limbatus,Gerres,,,,,OR002186.1
Yundang_MW646297.1,Odontobutis obscura,Odontobutis,,,,,MW646297.1
Yundang_MG271911.1,Pelates quadrilineatus,Pelates,,,,,MG271911.1
Yundang_MG587040.1,Liza carinata,Liza,,,,,MG587040.1
Yundang_KF375002.1,Liza subviridis,Liza,,,,,KF375002.1
Yundang_AP011566.1,Stolephorus chinensis,Stolephorus,,,,,AP011566.1
Yundang_KP973944.1,Takifugu bimaculatus,Takifugu,,,,,KP973944.1
MitoFish_mf_000001,Carassius langsdorfii,Carassius,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000001
MitoFish_mf_000002,Mustelus manazo,Mustelus,Triakidae,Carcharhiniformes,Chondrichthyes,Chordata,MitoFish_mf_000002
MitoFish_mf_000003,Sigmops gracilis,Sigmops,Gonostomatidae,Stomiiformes,Actinopteri,Chordata,MitoFish_mf_000003
MitoFish_mf_000004,Coryphaenoides armatus,Coryphaenoides,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000004
MitoFish_mf_000006,Coryphaenoides nasutus,Coryphaenoides,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000006
MitoFish_mf_000007,Coryphaenoides longifilis,Coryphaenoides,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000007
MitoFish_mf_000009,Coryphaenoides cinereus,Coryphaenoides,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000009
MitoFish_mf_000011,Coelorinchus gilberti,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000011
MitoFish_mf_000012,Coelorinchus macrochir,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000012
MitoFish_mf_000013,Anguilla megastoma,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000013
MitoFish_mf_000014,Anguilla interioris,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000014
MitoFish_mf_000015,Anguilla anguilla,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000015
MitoFish_mf_000016,Anguilla japonica,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000016
MitoFish_mf_000017,Anguilla australis,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000017
MitoFish_mf_000020,Anguilla mossambica,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000020
MitoFish_mf_000021,Anguilla bicolor,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000021
MitoFish_mf_000022,Anguilla bicolor,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000022
MitoFish_mf_000023,Anguilla malgumora,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000023
MitoFish_mf_000024,Anguilla celebesensis,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000024
MitoFish_mf_000025,Anguilla nebulosa,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000025
MitoFish_mf_000026,Anguilla obscura,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000026
MitoFish_mf_000027,Anguilla dieffenbachii,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000027
MitoFish_mf_000028,Anguilla reinhardtii,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000028
MitoFish_mf_000029,Anguilla rostrata,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000029
MitoFish_mf_000055,Paralichthys olivaceus,Paralichthys,Paralichthyidae,Pleuronectiformes,Actinopteri,Chordata,MitoFish_mf_000055
MitoFish_mf_000061,Sardinops melanostictus,Sardinops,Clupeidae,Clupeiformes,Actinopteri,Chordata,MitoFish_mf_000061
MitoFish_mf_000062,Coregonus lavaretus,Coregonus,Salmonidae,Salmoniformes,Actinopteri,Chordata,MitoFish_mf_000062
MitoFish_mf_000063,Diplophos sp. MM-1999,Diplophos,Diplophidae,Stomiiformes,Actinopteri,Chordata,MitoFish_mf_000063
MitoFish_mf_000064,Polymixia japonica,Polymixia,Polymixiidae,Polymixiiformes,Actinopteri,Chordata,MitoFish_mf_000064
MitoFish_mf_000065,Conger myriaster,Conger,Congridae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000065
MitoFish_mf_000067,Engraulis japonicus,Engraulis,Engraulidae,Clupeiformes,Actinopteri,Chordata,MitoFish_mf_000067
MitoFish_mf_000068,Acipenser transmontanus,Acipenser,Acipenseridae,Acipenseriformes,Actinopteri,Chordata,MitoFish_mf_000068
MitoFish_mf_000069,Lepisosteus oculatus,Lepisosteus,Lepisosteidae,Semionotiformes,Actinopteri,Chordata,MitoFish_mf_000069
MitoFish_mf_000070,Amia calva,Amia,Amiidae,Amiiformes,Actinopteri,Chordata,MitoFish_mf_000070
MitoFish_mf_000071,Osteoglossum bicirrhosum,Osteoglossum,Osteoglossidae,Osteoglossiformes,Actinopteri,Chordata,MitoFish_mf_000071
MitoFish_mf_000072,Pantodon buchholzi,Pantodon,Pantodontidae,Osteoglossiformes,Actinopteri,Chordata,MitoFish_mf_000072
MitoFish_mf_000073,Carassius cuvieri,Carassius,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000073
MitoFish_mf_000074,Eurypharynx pelecanoides,Eurypharynx,Eurypharyngidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000074
MitoFish_mf_000075,Plecoglossus altivelis,Plecoglossus,Plecoglossidae,Osmeriformes,Actinopteri,Chordata,MitoFish_mf_000075
MitoFish_mf_000076,Hime japonica,Hime,Aulopidae,Aulopiformes,Actinopteri,Chordata,MitoFish_mf_000076
MitoFish_mf_000077,Saccopharynx lavenbergi,Saccopharynx,Saccopharyngidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000077
MitoFish_mf_000079,Moringua edwardsi,Moringua,Moringuidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000079
MitoFish_mf_000080,Kaupichthys hyoproroides,Kaupichthys,Chlopsidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000080
MitoFish_mf_000081,Gymnothorax kidako,Gymnothorax,Muraenidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000081
MitoFish_mf_000082,Synaphobranchus kaupii,Synaphobranchus,Synaphobranchidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000082
MitoFish_mf_000083,Ophisurus macrorhynchos,Ophisurus,Ophichthidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000083
MitoFish_mf_000084,Nessorhamphus danae,Nessorhamphus,Derichthyidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000084
MitoFish_mf_000085,Muraenesox bagio,Muraenesox,Muraenesocidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000085
MitoFish_mf_000086,Nemichthys scolopaceus,Nemichthys,Nemichthyidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000086
MitoFish_mf_000087,Nettastoma parviceps,Nettastoma,Nettastomatidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000087
MitoFish_mf_000088,Stemonidium hypomelas,Stemonidium,Serrivomeridae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000088
MitoFish_mf_000089,Elops hawaiensis,Elops,Elopidae,Elopiformes,Actinopteri,Chordata,MitoFish_mf_000089
MitoFish_mf_000091,Pterothrissus gissu,Pterothrissus,Albulidae,Albuliformes,Actinopteri,Chordata,MitoFish_mf_000091
MitoFish_mf_000092,Sarcocheilichthys variegatus microoculus,Sarcocheilichthys,Gobionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000092
MitoFish_mf_000093,Cobitis striata,Cobitis,Cobitidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000093
MitoFish_mf_000094,Lefua echigonia,Lefua,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000094
MitoFish_mf_000095,Tachysurus tokiensis,Tachysurus,Bagridae,Siluriformes,Actinopteri,Chordata,MitoFish_mf_000095
MitoFish_mf_000096,Corydoras rabauti,Corydoras,Callichthyidae,Siluriformes,Actinopteri,Chordata,MitoFish_mf_000096
MitoFish_mf_000097,Phenacogrammus interruptus,Phenacogrammus,Alestidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_000097
MitoFish_mf_000098,Chalceus macrolepidotus,Chalceus,Chalceidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_000098
MitoFish_mf_000099,Eigenmannia sp. CBM-ZF-10620,Eigenmannia,Sternopygidae,Gymnotiformes,Actinopteri,Chordata,MitoFish_mf_000099
MitoFish_mf_000100,Apteronotus albifrons,Apteronotus,Apteronotidae,Gymnotiformes,Actinopteri,Chordata,MitoFish_mf_000100
MitoFish_mf_000101,Chanos chanos,Chanos,Chanidae,Gonorynchiformes,Actinopteri,Chordata,MitoFish_mf_000101
MitoFish_mf_000102,Gonorynchus greyi,Gonorynchus,Gonorynchidae,Gonorynchiformes,Actinopteri,Chordata,MitoFish_mf_000102
MitoFish_mf_000104,Rhodeus ocellatus kurumeus,Rhodeus,Acheilognathidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000104
MitoFish_mf_000105,Cyprinella lutrensis,Cyprinella,Leuciscidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000105
MitoFish_mf_000106,Boulengerella maculata,Boulengerella,Ctenoluciidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_000106
MitoFish_mf_000107,Hemibarbus barbus,Hemibarbus,Gobionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000107
MitoFish_mf_000108,Distichodus sexfasciatus,Distichodus,Distichodontidae,Characiformes,Actinopteri,Chordata,MitoFish_mf_000108
MitoFish_mf_000109,Phractolaemus ansorgii,Phractolaemus,Kneriidae,Gonorynchiformes,Actinopteri,Chordata,MitoFish_mf_000109
MitoFish_mf_000121,Gadus chalcogrammus,Gadus,Gadidae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000121
MitoFish_mf_000129,Spirinchus lanceolatus,Spirinchus,Osmeridae,Osmeriformes,Actinopteri,Chordata,MitoFish_mf_000129
MitoFish_mf_000130,Trachurus trachurus,Trachurus,Carangidae,Carangiformes,Actinopteri,Chordata,MitoFish_mf_000130
MitoFish_mf_000131,Thunnus thynnus thynnus,Thunnus,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000131
MitoFish_mf_000132,Euthynnus alletteratus,Euthynnus,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000132
MitoFish_mf_000133,Katsuwonus pelamis,Katsuwonus,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000133
MitoFish_mf_000134,Thunnus alalunga,Thunnus,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000134
MitoFish_mf_000135,Scomber japonicus,Scomber,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000135
MitoFish_mf_000137,Auxis rochei,Auxis,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000137
MitoFish_mf_000138,Auxis rochei,Auxis,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000138
MitoFish_mf_000140,Auxis thazard,Auxis,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000140
MitoFish_mf_000241,Laemonema longipes,Laemonema,Moridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000241
MitoFish_mf_000267,Carassius auratus auratus,Carassius,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000267
MitoFish_mf_000269,Cobitis hankugensis,Cobitis,Cobitidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000269
MitoFish_mf_000271,Scomber scombrus,Scomber,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000271
MitoFish_mf_000301,Pagrus auriga,Pagrus,Sparidae,Spariformes,Actinopteri,Chordata,MitoFish_mf_000301
MitoFish_mf_000314,Cycleptus elongatus,Cycleptus,Catostomidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000314
MitoFish_mf_000315,Carpiodes carpio,Carpiodes,Catostomidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000315
MitoFish_mf_000318,Notemigonus crysoleucas,Notemigonus,Leuciscidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000318
MitoFish_mf_000319,Catostomus commersonii,Catostomus,Catostomidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000319
MitoFish_mf_000339,Gadus chalcogrammus,Gadus,Gadidae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000339
MitoFish_mf_000345,Gadus chalcogrammus,Gadus,Gadidae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000345
MitoFish_mf_000347,Cypselurus hiraii,Cypselurus,Exocoetidae,Beloniformes,Actinopteri,Chordata,MitoFish_mf_000347
MitoFish_mf_000348,Thunnus orientalis,Thunnus,Scombridae,Scombriformes,Actinopteri,Chordata,MitoFish_mf_000348
MitoFish_mf_000349,Cottus kazika,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000349
MitoFish_mf_000350,Cottus pollux,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000350
MitoFish_mf_000351,Cottus pollux,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000351
MitoFish_mf_000352,Cottus pollux,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000352
MitoFish_mf_000353,Cottus reinii,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000353
MitoFish_mf_000354,Cottus nozawae,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000354
MitoFish_mf_000355,Cottus nozawae,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000355
MitoFish_mf_000356,Cottus amblystomopsis,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000356
MitoFish_mf_000357,Cottus hangiongensis,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000357
MitoFish_mf_000358,Cottus czerskii,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000358
MitoFish_mf_000359,Cottus poecilopus,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000359
MitoFish_mf_000360,Cottus poecilopus,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000360
MitoFish_mf_000361,Cottus poecilopus,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000361
MitoFish_mf_000362,Cottus poecilopus,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000362
MitoFish_mf_000363,Cottus gobio,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000363
MitoFish_mf_000364,Cottus cognatus,Cottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000364
MitoFish_mf_000366,Leocottus kesslerii,Leocottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000366
MitoFish_mf_000367,Trachidermus fasciatus,Trachidermus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000367
MitoFish_mf_000368,Leptocottus armatus,Leptocottus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000368
MitoFish_mf_000369,Myoxocephalus stelleri,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,MitoFish_mf_000369
MitoFish_mf_000442,Girella punctata,Girella,Kyphosidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_000442
MitoFish_mf_000443,Girella leonina,Girella,Kyphosidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_000443
MitoFish_mf_000444,Girella mezina,Girella,Kyphosidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_000444
MitoFish_mf_000445,Tinca tinca,Tinca,Tincidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000445
MitoFish_mf_000446,Gnathopogon elongatus,Gnathopogon,Gobionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000446
MitoFish_mf_000447,Aphyocypris chinensis,Aphyocypris,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000447
MitoFish_mf_000448,Tribolodon nakamurai,Tribolodon,Leuciscidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000448
MitoFish_mf_000449,Opsariichthys uncirostris,Opsariichthys,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000449
MitoFish_mf_000450,Nipponocypris sieboldii,Nipponocypris,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000450
MitoFish_mf_000451,Myxocyprinus asiaticus,Myxocyprinus,Catostomidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000451
MitoFish_mf_000457,Girella punctata,Girella,Kyphosidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_000457
MitoFish_mf_000463,Girella punctata,Girella,Kyphosidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_000463
MitoFish_mf_000464,Girella punctata,Girella,Kyphosidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_000464
MitoFish_mf_000467,Girella punctata,Girella,Kyphosidae,Centrarchiformes,Actinopteri,Chordata,MitoFish_mf_000467
MitoFish_mf_000477,Barbus barbus,Barbus,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000477
MitoFish_mf_000478,Barbonymus gonionotus,Barbonymus,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000478
MitoFish_mf_000479,Labeo batesii,Labeo,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000479
MitoFish_mf_000480,Labeo senegalensis,Labeo,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000480
MitoFish_mf_000481,Pethia ticto,Pethia,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000481
MitoFish_mf_000482,Alburnus alburnus,Alburnus,Leuciscidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000482
MitoFish_mf_000483,Esomus metallicus,Esomus,Danionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000483
MitoFish_mf_000484,Gymnocypris przewalskii,Gymnocypris,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000484
MitoFish_mf_000485,Gobio gobio,Gobio,Gobionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000485
MitoFish_mf_000486,Pelecus cultratus,Pelecus,Leuciscidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000486
MitoFish_mf_000487,Pungtungia herzi,Pungtungia,Gobionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000487
MitoFish_mf_000488,Pseudorasbora pumila,Pseudorasbora,Gobionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000488
MitoFish_mf_000489,Enteromius trimaculatus,Enteromius,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000489
MitoFish_mf_000490,Ischikauia steenackeri,Ischikauia,Xenocyprididae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000490
MitoFish_mf_000491,Acheilognathus typus,Acheilognathus,Acheilognathidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000491
MitoFish_mf_000499,Acantopsis choirorhynchos,Acantopsis,Cobitidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000499
MitoFish_mf_000500,Barbatula toni,Barbatula,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000500
MitoFish_mf_000501,Chromobotia macracanthus,Chromobotia,Botiidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000501
MitoFish_mf_000502,Gyrinocheilus aymonieri,Gyrinocheilus,Gyrinocheilidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000502
MitoFish_mf_000503,Pseudohomaloptera leonardi,Pseudohomaloptera,Balitoridae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000503
MitoFish_mf_000504,Minytrema melanops,Minytrema,Catostomidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000504
MitoFish_mf_000505,Moxostoma poecilurum,Moxostoma,Catostomidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000505
MitoFish_mf_000506,Pangio anguillaris,Pangio,Cobitidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000506
MitoFish_mf_000507,Hypentelium nigricans,Hypentelium,Catostomidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000507
MitoFish_mf_000508,Leptobotia mantschurica,Leptobotia,Botiidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000508
MitoFish_mf_000509,Misgurnus nikolskyi,Misgurnus,Cobitidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000509
MitoFish_mf_000510,Schistura balteata,Schistura,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000510
MitoFish_mf_000511,Vaillantella maassi,Vaillantella,Vaillantellidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000511
MitoFish_mf_000512,Biwia zezera,Biwia,Gobionidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000512
