species,genus,family,order,class,phylum,category,is_fish,is_contamination
Aaptosyax grypus,Aaptosyax,Cyprinidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abactochromis labrosus,Abactochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abalistes filamentosus,Abalistes,Balistidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abalistes stellaris,Abalistes,Balistidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abalistes stellatus,Abalistes,Balistidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius bermudensis,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius coccineus,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius dorehensis,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius nummifer,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius rosaceus,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius sanguineus,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina binhi,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina lalinensis,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina liaoningensis,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina obtusirostris,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina rivularis,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys binotatus,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys gymnothorax,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys macracanthus,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys sp. FOAH668-08,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys taenianotus,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes gracalii,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes hians,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes hians complex sp. type01,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes hians complex sp. type02,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes joseberchmansis,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes sp. 2 (Indo),Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aboma etheostoma,Aboma,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys elongatus,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys kempi,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. FBRC_ZSI_DNA344,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. FBRC_ZSI_DNA345,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. FBRC_ZSI_DNA346,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. FBRC_ZSI_DNA373,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. Rydak,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys verticauda,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abramis brama,Abramis,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abramis brama x Blicca bjoerkna,Abramis,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abramites hypselonotus,Abramites,Anostomidae,Characiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf abdominalis,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf bengalensis,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf caudobimaculatus,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf concolor,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf conformis,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf declivifrons,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf hoefleri,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf lorenzi,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf margariteus,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf natalensis,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf nigrimargo,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf notatus,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf saxatilis,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf septemfasciatus,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sexfasciatus,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sordidus,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sp. BOLD:AAA7276,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sp. BOLD:AAH9034,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sp. BOLD:ACK8109,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sp. DEP-2018,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sp. F1802SM-08,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sp. R0301_321,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sp. SR35-A3,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf sparoides,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf taurus,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf troschelii,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf vaigiensis,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf whitleyi,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abyssocottus gibbosus,Abyssocottus,Cottidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abyssocottus korotneffi,Abyssocottus,Cottidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthaluteres brownii,Acanthaluteres,Monacanthidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthaluteres spilomelanurus,Acanthaluteres,Monacanthidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthaluteres vittiger,Acanthaluteres,Monacanthidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthaphritis barbata,Acanthaphritis,Percophidae,Pempheriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthaphritis unoorum,Acanthaphritis,Percophidae,Pempheriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acantharchus pomotis,Acantharchus,Centrarchidae,Centrarchiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria aspera,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria balanorum,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria betinensis,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria castroi,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria chaplini,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria crockeri,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria exilispinus,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria greenfieldi,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria hancocki,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria hastingsi,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria macrospilus,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria maria,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria medusa,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria paula,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria rivasi,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. AC-2023,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. BOLD:AAB1274,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. BOLD:AAB1276,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. BOLD:AAB6855,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. BOLD:AAE8880,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. BOLD:AAH9018,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. BOLD:AAN2655,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. BOLD:AAN3199,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. CUR14058.G,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria sp. RIE-2011,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthemblemaria spinosa,Acanthemblemaria,Chaenopsidae,Blenniiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthicus adonis,Acanthicus,Loricariidae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthicus hystrix,Acanthicus,Loricariidae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius brasilianus,Acanthistius,Anthiadidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius cinctus,Acanthistius,Anthiadidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius environmental sample,Acanthistius,Serranidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius joanae,Acanthistius,Anthiadidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius ocellatus,Acanthistius,Anthiadidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius patachonicus,Acanthistius,Anthiadidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius pictus,Acanthistius,Anthiadidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius serratus,Acanthistius,Anthiadidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthistius sp. BOLD:AAF8832,Acanthistius,Anthiadidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthobrama lissneri,Acanthobrama,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthobrama marmid,Acanthobrama,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthobrama microlepis,Acanthobrama,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthobrama orontis,Acanthobrama,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthobrama persidis,Acanthobrama,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthobrama telavivensis,Acanthobrama,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthobunocephalus nicoi,Acanthobunocephalus,Aspredinidae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocepola abbreviata,Acanthocepola,Cepolidae (in: ray-finned fishes),Priacanthiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocepola indica,Acanthocepola,Cepolidae (in: ray-finned fishes),Priacanthiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocepola krusensternii,Acanthocepola,Cepolidae (in: ray-finned fishes),Priacanthiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocepola limbata,Acanthocepola,Cepolidae (in: ray-finned fishes),Priacanthiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocepola sp. 01 WCH-2019,Acanthocepola,Cepolidae (in: ray-finned fishes),Priacanthiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocepola sp. ARM-2007,Acanthocepola,Cepolidae (in: ray-finned fishes),Priacanthiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocepola sp. ODUT-B44.33,Acanthocepola,Cepolidae (in: ray-finned fishes),Priacanthiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthochaenus luetkenii,Acanthochaenus,Stephanoberycidae,Beryciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocharax microlepis,Acanthocharax,Characidae,Characiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthochromis polyacanthus,Acanthochromis,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocleithron chapini,Acanthocleithron,Mochokidae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthoclinus fuscus,Acanthoclinus,Plesiopidae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis botia,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis pavonacea,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis sp. CBM-ZF-12678,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis sp. Cauvery,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis sp. Puma Loach,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis sp. Tlawng,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis sp. WJC-2009,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis sp. ZSI:F293,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocobitis sp. cyp745,Acanthocobitis,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocybium solandri,Acanthocybium,Scombridae,Scombriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthocybium sp. BOLD:AAH9021,Acanthocybium,Scombridae,Scombriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthodoras cataphractus,Acanthodoras,Doradidae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthodoras sp. 1 'shallow scute',Acanthodoras,Doradidae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthodoras sp. 2 'deep scute',Acanthodoras,Doradidae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthodoras spinosissimus,Acanthodoras,Doradidae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthodraco dewitti,Acanthodraco,Bathydraconidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobio guentheri,Acanthogobio,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobius elongatus,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobius flavimanus,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobius hasta,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobius insularis,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobius lactipes,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobius luridus,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobius sp. 'elongata',Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthogobius stigmothonus,Acanthogobius,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acantholabrus palloni,Acantholabrus,Labridae,Labriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acantholatris monodactylus,Acantholatris,Cheilodactylidae,Centrarchiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acantholiparis opercularis,Acantholiparis,Liparidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acantholiparis sp. SIO BIC BI1371,Acantholiparis,Liparidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acantholumpenus mackayi,Acantholumpenus,Stichaeidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthonus armatus,Acanthonus,Ophidiidae,Ophidiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus arabicus,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus australis,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus berda,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus bifasciatus,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus butcheri,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus catenula,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus chinshira,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus datnia,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus latus,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus oconnorae,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus pacificus,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus palmaris,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus schlegelii,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus schlegelii x Pagrus major,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sheim,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sivicolus,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. CEW0153,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. CTJ-2008,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. CX-2021,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. KPM-NR0043453,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. SX-2017,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. T73161-1,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. YI-2011a,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. YI-2011b,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus sp. YI-2011c,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus taiwanensis,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopagrus vagus,Acanthopagrus,Sparidae,Spariformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthoplesiops psilogaster,Acanthoplesiops,Plesiopidae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopoma annectens,Acanthopoma,Trichomycteridae,Siluriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopsetta nadeshnyi,Acanthopsetta,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthopterygii sp. BD-2006,Acanthopterygii,,Scombriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthostracion polygonius,Acanthostracion,Ostraciidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthostracion quadricornis,Acanthostracion,Ostraciidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthostracion sp. BOLD:AAB6019,Acanthostracion,Ostraciidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthuridae sp. BOLD:AAB8729,Acanthuridae,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthuridae sp. BOLD:AAC1635,Acanthuridae,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthuridae sp. BOLD:AAC6467,Acanthuridae,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthuriformes sp. PK-2018,Acanthuriformes,,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus achilles,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus albimento,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus albipectoralis,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus auranticavus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus bahianus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus bariene,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus blochii,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus chirurgus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus chronixis,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus coeruleus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus dussumieri,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus gahhm,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus grammoptilus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus guttatus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus japonicus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus leucocheilus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus leucopareius,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus leucosternon,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus lineatus,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus lineatus x Acanthurus sohal,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus maculiceps,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus mata,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Acanthurus monroviae,Acanthurus,Acanthuridae,Acanthuriformes,Actinopteri,Chordata,Fish,TRUE,FALSE
